Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1300027300.1483544857,17,00:04:59,52.94%,$0.00,0,0.00%
1045707818.1466214861,16,00:03:26,31.25%,$0.00,0,0.00%
513028921.1485197256,12,00:06:51,83.33%,$0.00,0,0.00%
2023067983.1475473558,7,00:03:30,71.43%,$0.00,0,0.00%
44896152.1490410127,7,00:00:00,100.00%,$0.00,0,0.00%
266451692.1486541584,6,00:00:00,100.00%,$0.00,0,0.00%
805873602.1481582254,6,00:00:22,50.00%,$0.00,0,0.00%
1644981976.1473985145,5,00:07:11,0.00%,$0.00,0,0.00%
2102323684.1491138227,5,00:02:14,80.00%,$0.00,0,0.00%
357607083.1477457559,5,00:00:57,0.00%,$0.00,0,0.00%
1270870453.1491193274,4,00:04:47,25.00%,$0.00,0,0.00%
1424864401.1490970484,4,00:00:00,100.00%,$0.00,0,0.00%
1511687923.1491479886,4,00:00:29,25.00%,$0.00,0,0.00%
1560412385.1423765168,4,00:00:00,100.00%,$0.00,0,0.00%
256806613.1400391880,4,00:00:25,75.00%,$0.00,0,0.00%
1005793739.1491383928,3,00:01:24,66.67%,$0.00,0,0.00%
1017456044.1491380882,3,00:04:03,0.00%,$0.00,0,0.00%
1207707215.1485114311,3,00:00:49,33.33%,$0.00,0,0.00%
1219952743.1491565202,3,00:11:49,33.33%,$0.00,0,0.00%
1336480565.1471010880,3,00:00:54,66.67%,$0.00,0,0.00%
1337420832.1491425917,3,00:15:41,66.67%,$0.00,0,0.00%
1388935122.1491283615,3,00:00:06,66.67%,$0.00,0,0.00%
1442360220.1491254304,3,00:02:39,66.67%,$0.00,0,0.00%
1961543522.1491410772,3,00:03:47,0.00%,$0.00,0,0.00%
1971665197.1477436633,3,00:00:02,66.67%,$0.00,0,0.00%
248207805.1491048720,3,00:05:15,33.33%,$0.00,0,0.00%
573992990.1483819082,3,00:00:16,66.67%,$0.00,0,0.00%
619148774.1488837432,3,00:00:45,33.33%,$0.00,0,0.00%
767743614.1489117520,3,00:00:00,100.00%,$0.00,0,0.00%
922134598.1470023940,3,00:04:05,0.00%,$0.00,0,0.00%
1053977644.1491525958,2,00:00:00,100.00%,$0.00,0,0.00%
1062714933.1491418494,2,00:04:18,0.00%,$0.00,0,0.00%
1089377264.1462024319,2,00:00:41,50.00%,$0.00,0,0.00%
1101657690.1491488096,2,00:00:19,50.00%,$0.00,0,0.00%
1106155465.1448871117,2,00:12:44,50.00%,$0.00,0,0.00%
1209270069.1491596247,2,00:01:25,50.00%,$0.00,0,0.00%
1275797282.1489457827,2,00:00:00,100.00%,$0.00,0,0.00%
1282080933.1481706950,2,00:00:00,100.00%,$0.00,0,0.00%
1294126066.1490684510,2,00:14:38,50.00%,$0.00,0,0.00%
1322752954.1491178474,2,00:00:00,100.00%,$0.00,0,0.00%
1339710573.1480198173,2,00:00:00,100.00%,$0.00,0,0.00%
1345287722.1491734456,2,00:00:38,50.00%,$0.00,0,0.00%
139304787.1488306321,2,00:05:36,50.00%,$0.00,0,0.00%
1441320428.1477794673,2,00:01:19,50.00%,$0.00,0,0.00%
1470758819.1491363163,2,00:00:00,100.00%,$0.00,0,0.00%
1473668979.1481443758,2,00:00:00,100.00%,$0.00,0,0.00%
1518405774.1491458947,2,00:00:44,50.00%,$0.00,0,0.00%
1529898884.1478893565,2,00:00:30,50.00%,$0.00,0,0.00%
1536285009.1491242009,2,00:15:40,50.00%,$0.00,0,0.00%
1617843724.1491653016,2,00:04:44,0.00%,$0.00,0,0.00%
1673992299.1481281841,2,00:00:00,100.00%,$0.00,0,0.00%
1726419597.1491519960,2,00:00:00,100.00%,$0.00,0,0.00%
1739280041.1491586124,2,00:00:00,100.00%,$0.00,0,0.00%
1751882481.1489230875,2,00:00:38,50.00%,$0.00,0,0.00%
1772122017.1491256216,2,00:00:11,50.00%,$0.00,0,0.00%
1782732985.1480308090,2,00:00:00,100.00%,$0.00,0,0.00%
1792378401.1491748455,2,00:00:00,100.00%,$0.00,0,0.00%
1812675784.1491504961,2,00:01:33,50.00%,$0.00,0,0.00%
1825034588.1491131583,2,00:00:14,50.00%,$0.00,0,0.00%
1836643656.1484682270,2,00:04:43,0.00%,$0.00,0,0.00%
1849297619.1488827655,2,00:05:49,0.00%,$0.00,0,0.00%
