Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1045707818.1466214861,22,00:04:34,40.91%,$0.00,0,0.00%
1300027300.1483544857,17,00:13:38,17.65%,$0.00,0,0.00%
922134598.1470023940,14,00:08:41,42.86%,$0.00,0,0.00%
513028921.1485197256,11,00:00:00,100.00%,$0.00,0,0.00%
266451692.1486541584,10,00:00:00,100.00%,$0.00,0,0.00%
2023067983.1475473558,6,00:00:57,0.00%,$0.00,0,0.00%
2031524294.1485000503,5,00:03:13,40.00%,$0.00,0,0.00%
369844131.1473810117,5,00:06:54,40.00%,$0.00,0,0.00%
1106155465.1448871117,4,00:01:08,50.00%,$0.00,0,0.00%
1305383866.1483265770,4,00:01:01,75.00%,$0.00,0,0.00%
44896152.1490410127,4,00:04:22,75.00%,$0.00,0,0.00%
604510488.1445915985,4,00:00:25,50.00%,$0.00,0,0.00%
1091671803.1488984739,3,00:00:00,100.00%,$0.00,0,0.00%
1275797282.1489457827,3,00:01:21,33.33%,$0.00,0,0.00%
129973323.1465038186,3,00:01:33,33.33%,$0.00,0,0.00%
1543394304.1490293497,3,00:00:00,100.00%,$0.00,0,0.00%
1617303940.1479742050,3,00:00:00,100.00%,$0.00,0,0.00%
1666909901.1489161663,3,00:18:48,0.00%,$0.00,0,0.00%
1691596423.1490358077,3,00:11:21,0.00%,$0.00,0,0.00%
1758226134.1489965956,3,00:00:00,100.00%,$0.00,0,0.00%
32743554.1490104970,3,00:05:54,0.00%,$0.00,0,0.00%
357607083.1477457559,3,00:12:28,0.00%,$0.00,0,0.00%
48394275.1490408978,3,00:04:51,66.67%,$0.00,0,0.00%
503766865.1490423195,3,00:07:33,66.67%,$0.00,0,0.00%
599821612.1334530277,3,00:00:22,33.33%,$0.00,0,0.00%
80377957.1479077066,3,00:07:16,33.33%,$0.00,0,0.00%
967722458.1490293132,3,00:00:32,66.67%,$0.00,0,0.00%
974473902.1487544915,3,00:00:04,66.67%,$0.00,0,0.00%
1008079745.1475856259,2,00:00:25,50.00%,$0.00,0,0.00%
1062837180.1488941939,2,00:00:52,50.00%,$0.00,0,0.00%
1134196869.1490101263,2,00:20:31,50.00%,$0.00,0,0.00%
1179067613.1458571364,2,00:00:00,100.00%,$0.00,0,0.00%
1208148847.1487154162,2,00:05:48,0.00%,$0.00,0,0.00%
1215145951.1479493692,2,00:00:00,100.00%,$0.00,0,0.00%
1218234186.1490477522,2,00:00:00,100.00%,$0.00,0,0.00%
1275086878.1490486084,2,00:18:00,50.00%,$0.00,0,0.00%
1275170894.1489503713,2,00:00:00,100.00%,$0.00,0,0.00%
1284423511.1490099584,2,00:00:00,100.00%,$0.00,0,0.00%
1286460258.1488081164,2,00:00:00,100.00%,$0.00,0,0.00%
1353034315.1490001791,2,00:12:14,0.00%,$0.00,0,0.00%
1449160880.1361919701,2,00:00:07,50.00%,$0.00,0,0.00%
1460214351.1481749342,2,00:00:06,50.00%,$0.00,0,0.00%
1509082371.1490573468,2,00:07:45,0.00%,$0.00,0,0.00%
1530232335.1490462709,2,00:00:00,100.00%,$0.00,0,0.00%
1555031116.1490479303,2,00:00:51,0.00%,$0.00,0,0.00%
1557768306.1483160430,2,00:00:20,0.00%,$0.00,0,0.00%
1584223665.1490546790,2,00:00:28,0.00%,$0.00,0,0.00%
1589220624.1476881025,2,00:00:00,100.00%,$0.00,0,0.00%
1624874399.1467707133,2,00:09:20,50.00%,$0.00,0,0.00%
1628703140.1490179565,2,00:02:11,50.00%,$0.00,0,0.00%
1680554535.1476345333,2,00:03:46,50.00%,$0.00,0,0.00%
1684674610.1475875105,2,00:13:03,0.00%,$0.00,0,0.00%
1725539466.1486210033,2,00:00:23,50.00%,$0.00,0,0.00%
1740490712.1490325888,2,00:00:10,50.00%,$0.00,0,0.00%
1779750165.1490115747,2,00:04:03,50.00%,$0.00,0,0.00%
1782732985.1480308090,2,00:00:00,100.00%,$0.00,0,0.00%
1794944706.1490073024,2,00:00:39,0.00%,$0.00,0,0.00%
1828706500.1490228415,2,00:07:13,50.00%,$0.00,0,0.00%
1904808914.1490229508,2,00:00:00,100.00%,$0.00,0,0.00%
1906311983.1490387358,2,00:00:00,100.00%,$0.00,0,0.00%
1965638652.1481421649,2,00:11:51,50.00%,$0.00,0,0.00%
1971665197.1477436633,2,00:00:21,50.00%,$0.00,0,0.00%
2030860885.1476967653,2,00:00:00,100.00%,$0.00,0,0.00%
2037975678.1489946763,2,00:00:00,100.00%,$0.00,0,0.00%
2069530342.1488891439,2,00:00:03,50.00%,$0.00,0,0.00%
2073651462.1490503476,2,00:03:39,50.00%,$0.00,0,0.00%
2081173598.1456906984,2,00:00:51,50.00%,$0.00,0,0.00%
2081760397.1490382786,2,00:00:00,100.00%,$0.00,0,0.00%
240211675.1489888312,2,00:01:13,50.00%,$0.00,0,0.00%
254034799.1490138661,2,00:00:11,50.00%,$0.00,0,0.00%
268357278.1476886957,2,00:00:00,100.00%,$0.00,0,0.00%
283306727.1485388871,2,00:17:25,0.00%,$0.00,0,0.00%
326233220.1490188301,2,00:05:02,0.00%,$0.00,0,0.00%
338630326.1485539679,2,00:09:06,0.00%,$0.00,0,0.00%
361678168.1487070364,2,00:00:00,100.00%,$0.00,0,0.00%
394888484.1486579206,2,00:00:00,100.00%,$0.00,0,0.00%
400706271.1490437590,2,00:00:00,100.00%,$0.00,0,0.00%
471506474.1488018935,2,00:00:00,100.00%,$0.00,0,0.00%
484750961.1481016968,2,00:00:04,50.00%,$0.00,0,0.00%
508604984.1488663124,2,00:00:00,100.00%,$0.00,0,0.00%
524045577.1486438491,2,00:13:58,0.00%,$0.00,0,0.00%
549351113.1490504791,2,00:06:02,0.00%,$0.00,0,0.00%
554090391.1489817635,2,00:00:47,50.00%,$0.00,0,0.00%
562027867.1485442227,2,00:00:00,100.00%,$0.00,0,0.00%
564892230.1483033964,2,00:00:00,100.00%,$0.00,0,0.00%
586672968.1485479392,2,00:07:39,50.00%,$0.00,0,0.00%
605855621.1490154613,2,00:00:44,0.00%,$0.00,0,0.00%
672410976.1488403950,2,00:05:31,50.00%,$0.00,0,0.00%
714077387.1485015683,2,00:04:55,0.00%,$0.00,0,0.00%
736032752.1480323928,2,00:00:00,100.00%,$0.00,0,0.00%
