"payment_job_id"|"url_view"|"transfer_method_id"|"created_at"
"3yOZQY2"|"payout-methods"|""|"2017-01-02 18:12:36.04848+00"
"3yOZQY2"|"campaigns"|""|"2017-01-02 18:12:36.054865+00"
"3yOZQY2"|"campaigns"|""|"2017-01-02 18:13:24.272794+00"
"3yOZQY2"|"payout-methods"|""|"2017-01-02 18:14:59.142362+00"
"3yOZQY2"|"campaigns"|""|"2017-01-02 18:14:59.147008+00"
"3yOZQY2"|"campaigns"|""|"2017-01-02 18:15:10.305071+00"
"3yOZQY2"|"payout-methods"|""|"2017-01-03 12:09:04.546231+00"
"3yOZQY2"|"campaigns"|""|"2017-01-03 12:09:04.595616+00"
"3yOZQY2"|"payout-methods"|""|"2017-01-03 12:09:13.656881+00"
"3yOZQY2"|"campaigns"|""|"2017-01-03 12:09:13.660982+00"
"3yOZQY2"|"payout-methods"|""|"2017-01-03 12:09:22.40641+00"
"3yOZQY2"|"campaigns"|""|"2017-01-03 12:09:22.415062+00"
"3yOZQY2"|"payout-methods"|""|"2017-01-03 12:21:54.809786+00"
"3yOZQY2"|"campaigns"|""|"2017-01-03 12:21:54.81627+00"
"3yOZQY2"|"campaigns"|""|"2017-01-03 12:22:02.139683+00"
"kgea5ci"|"payout-methods"|""|"2017-02-15 09:41:40.001632+00"
"kgea5ci"|"campaigns"|""|"2017-02-15 09:41:40.017669+00"
"kgea5ci"|"campaigns"|""|"2017-02-15 09:41:52.981595+00"
"kgea5ci"|"transfer-method"|"zkloavz"|"2017-02-15 09:44:29.20567+00"
"kgea5ci"|"payout-methods"|""|"2017-02-15 09:45:34.908753+00"
"kgea5ci"|"campaigns"|""|"2017-02-15 09:45:35.105224+00"
"kgea5ci"|"campaigns"|""|"2017-02-15 09:45:46.937387+00"
"kgea5ci"|"campaigns"|""|"2017-02-15 09:46:49.400095+00"
"kgea5ci"|"campaigns"|""|"2017-02-15 09:46:59.642123+00"
"4vNdI3J"|"payout-methods"|""|"2017-02-15 10:15:04.941438+00"
"4vNdI3J"|"campaigns"|""|"2017-02-15 10:15:04.99676+00"
"4vNdI3J"|"campaigns"|""|"2017-02-15 10:15:05.741158+00"
"DAxRnhZ"|"payout-methods"|""|"2017-02-15 10:23:24.920076+00"
"DAxRnhZ"|"campaigns"|""|"2017-02-15 10:23:24.927665+00"
"DAxRnhZ"|"campaigns"|""|"2017-02-15 10:23:25.002216+00"
"DAxRnhZ"|"transfer-method"|"zkloavz"|"2017-02-15 10:23:38.838475+00"
"4vNdI3J"|"transfer-method"|"zkloavz"|"2017-02-15 10:26:05.134305+00"
"4vNdI3J"|"payout-methods"|""|"2017-02-15 10:26:56.577137+00"
"4vNdI3J"|"campaigns"|""|"2017-02-15 10:27:00.474495+00"
"4vNdI3J"|"campaigns"|""|"2017-02-15 10:27:36.97355+00"
"4vNdI3J"|"transfer-method"|"m7ckoc6"|"2017-02-15 10:29:12.454184+00"
"4vNdI3J"|"payout-methods"|""|"2017-02-15 10:29:37.656792+00"
"fJ4MkcV"|"payout-methods"|""|"2017-02-15 20:50:20.386147+00"
"fJ4MkcV"|"campaigns"|""|"2017-02-15 20:50:20.387983+00"
"fJ4MkcV"|"campaigns"|""|"2017-02-15 20:50:20.971003+00"
"fJ4MkcV"|"campaigns"|""|"2017-02-15 20:51:07.06854+00"
"fJ4MkcV"|"campaigns"|""|"2017-02-15 20:52:05.129131+00"
"4vNdI3J"|"payout-methods"|""|"2017-02-16 12:12:09.420479+00"
"4vNdI3J"|"campaigns"|""|"2017-02-16 12:12:09.431561+00"
"4vNdI3J"|"campaigns"|""|"2017-02-16 12:12:09.872948+00"
"4vNdI3J"|"transfer-method"|"72a2ku3"|"2017-02-16 12:12:27.747473+00"
"4vNdI3J"|"payout-methods"|""|"2017-02-16 12:13:10.371576+00"
"4vNdI3J"|"campaigns"|""|"2017-02-16 12:13:11.511534+00"
"4vNdI3J"|"transfer-method"|"m7ckoc6"|"2017-02-16 12:13:18.242823+00"
"4vNdI3J"|"payout-methods"|""|"2017-02-16 12:14:03.760389+00"
"4vNdI3J"|"campaigns"|""|"2017-02-16 12:14:04.181489+00"
"4vNdI3J"|"transfer-method"|"72a2ku3"|"2017-02-16 12:14:05.655717+00"
"4vNdI3J"|"payout-methods"|""|"2017-02-16 12:15:49.120244+00"
"4vNdI3J"|"campaigns"|""|"2017-02-16 12:15:49.583331+00"
