"payment_job_id"|"payment_issuer_id"|"amount"|"gender"|"status"|"created_at"|"closed_at"
"3N2/gEX"|"ku67iuf"|"65.26"|"Male"|"Closed"|"2017-03-28 02:06:34.254341+00"|"2017-03-28 11:08:15.763343+00"
"t1hcFJ4"|"zxqi2ey"|"10.25"|"Male"|"Closed"|"2017-03-28 02:06:09.88215+00"|"2017-03-28 12:06:04.563339+00"
"bozVMtI"|"ku67iuf"|"96.18"|"Male"|"Closed"|"2017-03-28 02:06:25.162234+00"|"2017-03-28 12:00:34.403814+00"
"17OYtBy"|"ku67iuf"|"122.21"|"Male"|"Closed"|"2017-03-28 02:06:16.679556+00"|"2017-03-28 12:38:46.746275+00"
"ZymI3ly"|"ku67iuf"|"51.59"|"Female"|"Closed"|"2017-03-28 02:06:17.902805+00"|"2017-03-28 12:53:09.966339+00"
"gDoKmU9"|"zxqi2ey"|"85"|"Female"|"Closed"|"2017-03-28 02:06:33.562597+00"|"2017-03-28 13:29:02.53292+00"
"0OlsNFQ"|"zxqi2ey"|"248.53"|"Female"|"Closed"|"2017-03-28 02:06:10.18122+00"|"2017-03-28 13:14:19.943172+00"
"c9VlNVT"|"zxqi2ey"|"80.33"|"Male"|"Closed"|"2017-03-28 02:06:26.665316+00"|"2017-03-28 15:06:19.87209+00"
"Vxpa2Et"|"zxqi2ey"|"43.97"|"Male"|"Closed"|"2017-03-28 02:06:28.87064+00"|"2017-03-28 15:48:50.80667+00"
"U/of/82"|"zxqi2ey"|"107.4"|"Male"|"Closed"|"2017-03-28 02:06:32.896336+00"|"2017-03-28 17:13:51.908365+00"
"e/ZFq5Y"|"ku67iuf"|"67.96"|"Male"|"Closed"|"2017-03-28 02:06:23.52232+00"|"2017-03-28 17:26:25.50357+00"
"yCq5UGE"|"7paf7rn"|"10.43"|"Female"|"Closed"|"2017-03-28 02:06:18.239029+00"|"2017-03-28 18:51:35.592431+00"
"fivACuM"|"ku67iuf"|"273.26"|"Male"|"Closed"|"2017-03-28 02:06:27.598661+00"|"2017-03-28 18:37:43.293906+00"
"3gD19U4"|"kme4km6"|"710"|"Female"|"Closed"|"2017-03-28 14:53:31.134435+00"|"2017-03-28 20:02:08.934484+00"
"fqB+E5M"|"zxqi2ey"|"115.26"|"Male"|"Closed"|"2017-03-28 02:06:19.965391+00"|"2017-03-28 20:34:33.812511+00"
"LKOuMnI"|"zxqi2ey"|"78.43"|"Male"|"Closed"|"2017-03-28 02:06:25.556231+00"|"2017-03-29 06:49:46.988797+00"
"617Vg1t"|"kme4km6"|"1505.19"|"Female"|"Fallback"|"2017-03-21 16:16:15.694196+00"|""
"bYE08Rv"|"7paf7rn"|"95.88"|"Female"|"Fallback"|"2017-03-29 12:02:56.506787+00"|""
"H38nmM5"|"ku67iuf"|"19.14"|"Female"|"Closed"|"2017-03-29 12:02:51.27943+00"|"2017-03-30 11:56:50.379683+00"
"v+SuRJ8"|"zxqi2ey"|"13.52"|"Male"|"Fallback"|"2017-03-29 12:02:54.879548+00"|""
"7HW8cY9"|"ku67iuf"|"20.95"|"Female"|"Closed"|"2017-03-29 12:02:54.695219+00"|"2017-03-31 04:40:40.642516+00"
"ik5/GOA"|"7paf7rn"|"99.32"|"Male"|"Fallback"|"2017-03-29 12:02:53.810241+00"|""
"sy6J4qr"|"zxqi2ey"|"23.77"|"Male"|"Closed"|"2017-03-29 12:02:48.78406+00"|"2017-03-30 07:40:50.321388+00"
"6HaWmxe"|"jf5sak2"|"185.54"|"Male"|"Closed"|"2017-03-29 12:02:52.520448+00"|"2017-03-30 16:42:04.793153+00"
"6qejCyU"|"zxqi2ey"|"53.05"|"Male"|"Closed"|"2017-03-29 12:02:50.211759+00"|"2017-03-31 09:26:37.554405+00"
"mpp3+oG"|"ku67iuf"|"193.38"|"Female"|"Closed"|"2017-03-29 12:02:55.984658+00"|"2017-03-31 17:25:09.452974+00"
"rd9OMZx"|"zz55qif"|"197.08"|"Male"|"Fallback"|"2017-03-29 12:02:57.101875+00"|""
"9E9dvJp"|"ryxlzpt"|"21.71"|"Female"|"Fallback"|"2017-03-29 12:02:54.31271+00"|""
"zDZmYFO"|"ku67iuf"|"138.31"|"Male"|"Fallback"|"2017-03-29 12:02:56.25191+00"|""
