"transfer_job_id"|"payment_job_id"|"transfer_method_id"|"nominal_value"|"payout_method_id"|"status"|"created_at"|"updated_at"|"upside_amount"
"ZFEKXZB"|"HC8/WsW"|"sopntbn"|"26.47"|"22yufl6"|"CLOSED"|"2017-03-23 02:37:53.912271+00"|"2017-03-23 02:37:57.201293+00"|"0"
"AV8fRss"|"MHQXK1c"|"sopntbn"|"1900.2"|"22yufl6"|"CLOSED"|"2017-03-23 07:55:15.506165+00"|"2017-03-23 07:55:27.236826+00"|"0"
"+6jTUDe"|"OrL9KdR"|"sopntbn"|"3759"|"22yufl6"|"CLOSED"|"2017-03-23 08:00:07.142163+00"|"2017-03-23 08:00:27.483082+00"|"0"
"ez5BFoN"|"mFy9U6s"|"sopntbn"|"493.56"|"22yufl6"|"CLOSED"|"2017-03-23 08:00:07.181393+00"|"2017-03-23 08:00:27.230464+00"|"0"
"j6ydWrf"|"BLMTAOv"|"sopntbn"|"50.23"|"22yufl6"|"CLOSED"|"2017-04-02 12:01:55.713184+00"|"2017-04-02 12:01:57.251863+00"|"0"
"3MpQhPk"|"zYAGRFS"|"sopntbn"|"2201.27"|"22yufl6"|"CLOSED"|"2017-03-23 08:00:07.086784+00"|"2017-03-23 08:00:27.400087+00"|"0"
"DMbljUV"|"Q3DA/yD"|"sopntbn"|"512.14"|"22yufl6"|"CLOSED"|"2017-03-23 08:00:07.060477+00"|"2017-03-23 08:00:27.618693+00"|"0"
"pZpORU5"|"iY6A+hq"|"sopntbn"|"84.42"|"22yufl6"|"CLOSED"|"2017-03-23 08:05:32.891579+00"|"2017-03-23 08:05:57.201427+00"|"0"
"b71hYgo"|"G33FZzp"|"sopntbn"|"216.48"|"22yufl6"|"CLOSED"|"2017-04-02 14:06:23.653996+00"|"2017-04-02 14:06:27.229022+00"|"0"
"NK/9Lnx"|"Q2Y6zz5"|"sopntbn"|"13.44"|"22yufl6"|"CLOSED"|"2017-03-23 10:40:40.259149+00"|"2017-03-23 10:40:57.507681+00"|"0"
"cHYJm3a"|"tc8yKHL"|"sopntbn"|"147.22"|"22yufl6"|"CLOSED"|"2017-03-23 11:54:46.015176+00"|"2017-03-23 11:54:57.211328+00"|"0"
"vLSW8q0"|"gCa74rX"|"sopntbn"|"152.94"|"22yufl6"|"CLOSED"|"2017-03-23 11:59:22.92786+00"|"2017-03-23 11:59:27.191651+00"|"0"
"S1VJq5A"|"mh+MOQO"|"6zqi3zy"|"40"|""|"CLOSED"|"2017-04-02 15:49:11.848005+00"|"2017-04-02 15:49:57.205923+00"|"0"
"sVgYWMP"|"tM1GZOs"|"sopntbn"|"180"|"22yufl6"|"CLOSED"|"2017-03-23 12:08:22.503531+00"|"2017-03-23 12:08:27.232446+00"|"0"
"wJRur8Z"|"4mZRxbN"|"sopntbn"|"36.44"|"22yufl6"|"CLOSED"|"2017-03-23 12:01:17.808551+00"|"2017-03-23 12:01:27.254452+00"|"0"
"hTMoB4R"|"YMZWxxX"|"6zqi3zy"|"20"|""|"CLOSED"|"2017-04-02 16:46:18.347178+00"|"2017-04-02 16:46:57.329726+00"|"0"
"wX2drt5"|"YMZWxxX"|"rfqzuz2"|"20"|""|"CLOSED"|"2017-04-02 16:46:18.3472+00"|"2017-04-02 16:46:57.329727+00"|"2"
"/jOWS57"|"nhTNWSg"|"sopntbn"|"450"|"22yufl6"|"CLOSED"|"2017-03-23 13:41:11.079641+00"|"2017-03-23 13:41:27.153987+00"|"0"
"Yv3yF2c"|"Imn6eoB"|"sopntbn"|"640.94"|"22yufl6"|"CLOSED"|"2017-03-23 13:39:59.483088+00"|"2017-03-23 13:40:28.482803+00"|"0"
"pd4wLll"|"ndYquZx"|"rfqzuz2"|"20"|""|"CLOSED"|"2017-04-02 16:48:30.548459+00"|"2017-04-02 16:49:27.337693+00"|"2"
"y1Wmw4W"|"3XGmYt8"|"sopntbn"|"75.52"|"22yufl6"|"CLOSED"|"2017-04-02 18:16:17.529029+00"|"2017-04-02 18:16:27.192634+00"|"0"
"ptb/7vS"|"SHg7xeN"|"sopntbn"|"351.05"|"22yufl6"|"CLOSED"|"2017-03-23 18:23:40.688652+00"|"2017-03-23 18:23:57.335285+00"|"0"
"WWqQi1V"|"ebZjmK7"|"sopntbn"|"108.4"|"22yufl6"|"CLOSED"|"2017-03-23 20:46:33.355282+00"|"2017-03-23 20:46:57.208514+00"|"0"
"Ww9mhsu"|"fniycd0"|"sopntbn"|"411.79"|"22yufl6"|"CLOSED"|"2017-03-23 20:17:52.33138+00"|"2017-03-23 20:17:57.201515+00"|"0"
"TOM75tm"|"VWe3oEp"|"sopntbn"|"125"|"22yufl6"|"CLOSED"|"2017-03-23 18:47:20.715039+00"|"2017-03-23 18:47:27.221616+00"|"0"
"3R8poR6"|"RzcCaF4"|"sopntbn"|"89.81"|"22yufl6"|"CLOSED"|"2017-03-23 21:14:32.194885+00"|"2017-03-23 21:14:57.243903+00"|"0"
"jUcZrWq"|"SAiJTfA"|"sopntbn"|"200.18"|"22yufl6"|"CLOSED"|"2017-03-24 08:00:07.10182+00"|"2017-03-24 08:00:28.197823+00"|"0"
"ewI/EXl"|"5CvsQl0"|"sopntbn"|"2940"|"22yufl6"|"CLOSED"|"2017-03-24 08:00:07.250803+00"|"2017-03-24 08:00:27.8514+00"|"0"
"zLqZVeO"|"nWjVANx"|"sopntbn"|"1365.74"|"22yufl6"|"CLOSED"|"2017-03-24 08:00:07.217147+00"|"2017-03-24 08:00:28.072865+00"|"0"
"JtM2JiQ"|"iUN4oF/"|"sopntbn"|"255.85"|"22yufl6"|"CLOSED"|"2017-03-24 08:00:07.061651+00"|"2017-03-24 08:00:27.678761+00"|"0"
"SBl+qQi"|"8eIOzUe"|"sopntbn"|"167"|"22yufl6"|"CLOSED"|"2017-04-02 20:50:42.284774+00"|"2017-04-02 20:50:57.230321+00"|"0"
"93UXy3n"|"Ro4wumd"|"sopntbn"|"13.12"|"22yufl6"|"CLOSED"|"2017-03-24 09:06:27.970877+00"|"2017-03-24 09:06:57.212641+00"|"0"
"RzAd/tm"|"zj8ht+m"|"sopntbn"|"24.29"|"22yufl6"|"CLOSED"|"2017-03-24 10:36:42.639543+00"|"2017-03-24 10:36:57.27015+00"|"0"
"Lhcul9t"|"AOsN8yR"|"6zqi3zy"|"20"|""|"CLOSED"|"2017-04-24 15:54:34.704354+00"|"2017-04-24 15:55:27.270089+00"|"0"
"rvZn9cA"|"Nb9dHuX"|"6zqi3zy"|"40"|""|"CLOSED"|"2017-04-24 15:55:08.644198+00"|"2017-04-24 15:55:57.187104+00"|"0"
"TyJhttY"|"MaIyRQ4"|"sopntbn"|"96.19"|"22yufl6"|"CLOSED"|"2017-04-03 09:28:05.936251+00"|"2017-04-03 09:28:27.340636+00"|"0"
"e3cQWWj"|"xD5+md4"|"sopntbn"|"230"|"22yufl6"|"CLOSED"|"2017-03-24 14:23:31.574764+00"|"2017-03-24 14:23:57.333542+00"|"0"
"InoZ7Zl"|"cegQsDG"|"6zqi3zy"|"40"|""|"CLOSED"|"2017-04-03 11:34:12.092364+00"|"2017-04-03 11:34:57.190092+00"|"0"
"tpzOk03"|"kzXUHiN"|"6zqi3zy"|"20"|""|"CLOSED"|"2017-04-03 11:33:43.328719+00"|"2017-04-03 11:34:27.252231+00"|"0"
"ldc2JLB"|"LjwR7mO"|"sopntbn"|"632.16"|"22yufl6"|"CLOSED"|"2017-03-02 08:17:13.835099+00"|"2017-03-02 08:17:27.295318+00"|"0"
"s1k8Hn5"|"PCpjGFC"|"sopntbn"|"560.18"|"22yufl6"|"CLOSED"|"2017-03-02 08:18:40.232118+00"|"2017-03-02 08:18:57.250131+00"|"0"
"J3ZNQwi"|"RrjurNN"|"sopntbn"|"515.49"|"22yufl6"|"CLOSED"|"2017-03-02 09:02:28.010686+00"|"2017-03-02 09:02:57.243336+00"|"0"
"65be3zD"|"hMPzyxJ"|"s66vazx"|"40"|""|"CLOSED"|"2017-04-03 13:28:04.239687+00"|"2017-04-03 13:28:57.365303+00"|"10"
"VVdh1pb"|"HGfUZxF"|"sopntbn"|"431.25"|"22yufl6"|"CLOSED"|"2017-03-02 11:56:59.031103+00"|"2017-03-02 11:57:27.360663+00"|"0"
"NvH8rVD"|"Btzcngh"|"sopntbn"|"63.24"|"22yufl6"|"CLOSED"|"2017-04-03 16:30:39.16862+00"|"2017-04-03 16:30:57.207412+00"|"0"
"ZEuo6++"|"5pDLSZP"|"sopntbn"|"86.58"|"22yufl6"|"CLOSED"|"2017-04-03 17:56:00.164747+00"|"2017-04-03 17:56:27.189622+00"|"0"
"WtQsOKL"|"DPrrGim"|"sopntbn"|"100.49"|"22yufl6"|"CLOSED"|"2017-04-03 17:55:07.307688+00"|"2017-04-03 17:55:27.18175+00"|"0"
"myP3Em4"|"370YOYs"|"sopntbn"|"410.08"|"22yufl6"|"CLOSED"|"2017-03-25 08:00:07.063062+00"|"2017-03-25 08:00:27.259483+00"|"0"
"ZxFgdUN"|"EwOAk1V"|"sopntbn"|"125"|"22yufl6"|"CLOSED"|"2017-03-25 08:00:07.125142+00"|"2017-03-25 08:00:27.551146+00"|"0"
"NzMxxmm"|"xPkt77c"|"sopntbn"|"1042"|"22yufl6"|"CLOSED"|"2017-03-02 16:24:12.750531+00"|"2017-03-02 16:24:27.235772+00"|"0"
"6C7ivhK"|"qrs7Y3s"|"sopntbn"|"102.9"|"22yufl6"|"CLOSED"|"2017-03-02 17:54:40.503677+00"|"2017-03-02 17:54:57.174138+00"|"0"
"ML87qQx"|"5yDpo6R"|"sopntbn"|"106.51"|"22yufl6"|"CLOSED"|"2017-03-02 18:33:16.597171+00"|"2017-03-02 18:33:27.270668+00"|"0"
"TV3pJy2"|"X+3pBvy"|"6zqi3zy"|"40"|""|"CLOSED"|"2017-04-03 20:09:07.4122+00"|"2017-04-03 20:09:57.147781+00"|"0"
"5hRIr6s"|"8ymi5rZ"|"sopntbn"|"273.7"|"22yufl6"|"CLOSED"|"2017-03-02 19:02:43.728517+00"|"2017-03-02 19:02:57.227542+00"|"0"
"yCFAEm4"|"Dcs6EvG"|"ybaa3gk"|"323.57"|""|"CLOSED"|"2017-03-25 15:12:12.204516+00"|"2017-03-25 15:12:57.30173+00"|"12.9428"
"k9BMAQ2"|"/6dY0Jz"|"sopntbn"|"44.39"|"22yufl6"|"CLOSED"|"2017-04-03 20:35:40.046557+00"|"2017-04-03 20:35:57.177809+00"|"0"
"nPP6J14"|"4D3eDU2"|"sopntbn"|"1536.4"|"22yufl6"|"CLOSED"|"2017-03-03 08:43:32.625189+00"|"2017-03-03 08:43:57.190761+00"|"0"
"dPqIbv/"|"6CgtNF9"|"ybaa3gk"|"235.04"|""|"CLOSED"|"2017-03-03 09:03:00.453757+00"|"2017-03-03 09:03:57.518374+00"|"9.4016"
"V0Sz9au"|"8Y0i754"|"sopntbn"|"46.05"|"22yufl6"|"CLOSED"|"2017-03-25 23:00:05.746023+00"|"2017-03-25 23:00:57.326015+00"|"0"
"UWRTJ+P"|"7jZ+l8b"|"sopntbn"|"31.75"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:09.946261+00"|"2017-04-03 22:00:28.66581+00"|"0"
"h7PyOp4"|"1l2pNwY"|"sopntbn"|"53.23"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:07.452024+00"|"2017-04-03 22:00:40.022691+00"|"0"
"RrzOdr5"|"6yBO/GL"|"sopntbn"|"12.27"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:03.782222+00"|"2017-04-03 22:00:27.578811+00"|"0"
"4RMR6iK"|"mG+CD7g"|"sopntbn"|"56.13"|"22yufl6"|"CLOSED"|"2017-03-25 23:00:08.129038+00"|"2017-03-25 23:00:37.456873+00"|"0"
"eWhj6Xw"|"ALeoSqS"|"sopntbn"|"54.37"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:09.444936+00"|"2017-04-03 22:00:39.175542+00"|"0"
"7RJuzZL"|"kmbCE0M"|"sopntbn"|"269.13"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:10.080368+00"|"2017-04-03 22:00:40.769875+00"|"0"
"Vita9NU"|"x3edezT"|"sopntbn"|"92.86"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:09.012507+00"|"2017-04-03 22:00:29.796425+00"|"0"
"4O4sPl6"|"OgCH9gM"|"sopntbn"|"35.66"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:09.104371+00"|"2017-04-03 22:00:36.936333+00"|"0"
"wcwvJIP"|"lOJz6sK"|"sopntbn"|"1220"|"22yufl6"|"CLOSED"|"2017-03-03 15:30:54.911952+00"|"2017-03-03 15:30:57.233145+00"|"0"
"idXq+RW"|"Zo/GU6+"|"sopntbn"|"111"|"22yufl6"|"CLOSED"|"2017-03-25 23:00:11.527391+00"|"2017-03-25 23:00:36.462174+00"|"0"
"iOL7Mc4"|"2Gq6X93"|"sopntbn"|"41.97"|"22yufl6"|"CLOSED"|"2017-03-25 23:00:10.12787+00"|"2017-03-25 23:00:29.944823+00"|"0"
"44blMK9"|"p1PUn4Z"|"sopntbn"|"236.3"|"22yufl6"|"CLOSED"|"2017-04-03 22:00:07.793901+00"|"2017-04-03 22:00:39.706281+00"|"0"
"Vo9Gbbb"|"0yYvNHi"|"sopntbn"|"396.7"|"22yufl6"|"CLOSED"|"2017-03-03 17:45:02.32324+00"|"2017-03-03 17:45:27.324382+00"|"0"
"rNor4NK"|"PjlPkxR"|"sopntbn"|"31"|"22yufl6"|"CLOSED"|"2017-03-25 23:00:09.189473+00"|"2017-03-25 23:00:28.24015+00"|"0"
